source,target,distance,type
1475,1471,1.59,sim
1475,1473,1.62,sim
1473,1471,1.49,sim
1473,1475,1.62,sim
1471,1473,1.49,sim
1471,1475,1.59,sim
1457,701,1.29,sim
1457,686,1.83,sim
1457,694,1.83,sim
1457,942,1.9,sim
1455,1449,0.0,same
1455,1453,0.0,same
1455,1447,0.07,sim
1455,979,0.13,sim
1455,988,0.13,sim
1455,971,0.13,sim
1455,975,0.17,sim
1455,984,0.17,sim
1455,1445,0.19,sim
1454,1450,1.84,sim
1452,496,1.8,sim
1450,1454,1.84,sim
1447,1453,0.07,sim
1447,1449,0.07,sim
1447,1455,0.07,sim
1447,988,0.09,sim
1447,979,0.09,sim
1447,971,0.09,sim
1447,975,0.13,sim
1447,984,0.13,sim
1447,1445,0.13,sim
1445,1447,0.13,sim
1445,975,0.15,sim
1445,984,0.15,sim
1445,979,0.17,sim
1445,971,0.17,sim
1445,988,0.17,sim
1445,1449,0.19,sim
1445,1453,0.19,sim
1445,1455,0.19,sim
1443,668,0.34,sim
1443,673,0.6,sim
1443,969,1.0,sim
1443,1048,1.0,sim
1443,1177,1.15,sim
1443,720,1.38,sim
1443,717,1.38,sim
1443,702,1.43,sim
1443,1191,1.44,sim
1441,1437,0.38,sim
1441,1435,0.43,sim
1441,801,1.62,sim
1439,1433,1.21,sim
1439,1187,1.43,sim
1439,969,1.6,sim
1439,673,1.65,sim
1439,1443,1.74,sim
1439,668,1.76,sim
1439,717,1.87,sim
1439,720,1.87,sim
1439,1058,1.89,sim
1437,1435,0.23,sim
1437,1441,0.38,sim
1437,801,1.55,sim
1435,1437,0.23,sim
1435,1441,0.43,sim
1435,801,1.55,sim
1433,1439,1.21,sim
1433,668,1.6,sim
1433,969,1.63,sim
1433,1187,1.67,sim
1433,1443,1.71,sim
1433,673,1.94,sim
1417,207,0.0,same
1416,206,0.0,same
1415,205,0.0,same
1414,204,0.0,same
1413,203,0.0,same
1412,202,0.0,same
1411,821,0.84,sim
1411,823,0.89,sim
1411,1403,1.1,sim
1411,1399,1.1,sim
1411,1407,1.1,sim
1411,809,1.14,sim
1411,819,1.23,sim
1411,405,1.56,sim
1408,1400,0.0,same
1408,1404,0.0,same
1407,1399,0.0,same
1407,1403,0.0,same
1407,821,0.86,sim
1407,823,0.86,sim
1407,809,0.99,sim
1407,1411,1.1,sim
1407,819,1.51,sim
1407,12,1.64,sim
1407,405,1.8,sim
1406,1402,0.0,same
1406,820,1.57,sim
1406,822,1.6,sim
1406,430,1.83,sim
1405,1401,1.86,sim
1401,1405,1.86,sim
1398,1396,1.63,sim
1397,688,1.27,sim
1397,699,1.27,sim
1397,692,1.27,sim
1397,399,1.4,sim
1397,280,1.52,sim
1397,1042,1.64,sim
1397,1036,1.64,sim
1397,96,1.83,sim
1397,101,1.83,sim
1396,1398,1.63,sim
1395,733,0.21,sim
1395,729,0.33,sim
1395,735,0.33,sim
1395,1276,0.89,sim
1395,727,1.32,sim
1395,652,1.47,sim
1395,1004,1.7,sim
1395,825,1.96,sim
1385,568,0.0,same
1385,564,0.0,same
1385,590,0.0,same
1385,571,0.0,same
1385,1379,0.0,same
1385,1263,0.0,same
1385,552,0.0,same
1385,1244,0.0,same
1385,557,0.0,same
1384,1380,0.0,same
1384,1246,1.64,sim
1384,1249,1.64,sim
1384,1238,1.64,sim
1384,1241,1.64,sim
1384,1340,1.85,sim
1384,1125,1.89,sim
1384,1331,1.92,sim
1384,304,1.99,sim
1377,832,1.56,sim
1377,836,1.56,sim
1375,642,1.33,sim
1375,644,1.33,sim
1367,90,1.97,sim
1364,1353,0.74,sim
1364,1356,0.76,sim
1364,1361,0.8,sim
1364,266,1.98,sim
1364,1354,1.99,sim
1363,1355,0.0,same
