source,target,distance,type
25847,5166,0.0,same
25847,18645,0.0,same
25847,15238,0.0,same
25847,2387,0.0,same
25847,25006,0.0,same
25847,16302,0.66,sim
25847,13104,0.66,sim
25847,12624,0.66,sim
25847,9742,0.66,sim
25846,4490,0.0,same
25846,4273,0.0,same
25846,6235,0.73,sim
25846,6135,0.82,sim
25846,7529,0.9,sim
25846,7525,0.9,sim
25846,16085,0.9,sim
25846,10541,0.92,sim
25846,18811,0.92,sim
25845,4489,0.0,same
25845,4570,0.85,sim
25845,15981,0.85,sim
25845,23590,1.07,sim
25845,22849,1.43,sim
25845,23565,1.43,sim
25845,20477,1.43,sim
25845,2966,1.43,sim
25845,18367,1.43,sim
25843,16919,1.21,sim
25843,16955,1.3,sim
25843,6946,1.38,sim
25843,7092,1.38,sim
25843,10716,1.38,sim
25843,6941,1.38,sim
25843,274,1.38,sim
25843,7083,1.38,sim
25843,260,1.38,sim
25841,20897,1.26,sim
25841,10628,1.52,sim
25841,11003,1.53,sim
25841,9879,1.56,sim
25841,18706,1.79,sim
25841,13452,1.88,sim
25841,21406,1.89,sim
25841,7953,1.95,sim
25841,7259,1.95,sim
25840,14051,0.2,sim
25840,15976,0.24,sim
25840,14812,0.4,sim
25840,16043,0.74,sim
25840,7370,1.3,sim
25840,5764,1.36,sim
25840,20142,1.44,sim
25840,18091,1.54,sim
25840,15588,1.55,sim
25838,19056,0.81,sim
25838,18312,1.07,sim
25838,18316,1.07,sim
25838,11434,1.14,sim
25838,11431,1.14,sim
25838,3994,1.19,sim
25838,3985,1.24,sim
25838,24106,1.32,sim
25838,10077,1.47,sim
25837,15660,0.0,same
25837,23299,0.0,same
25836,15659,0.0,same
25836,23298,0.0,same
25836,4362,0.64,sim
25836,4358,1.0,sim
25836,20018,1.82,sim
25836,3847,1.93,sim
25836,370,1.97,sim
25835,23297,0.0,same
25835,15658,0.0,same
25835,25827,0.54,sim
25835,23289,0.54,sim
25835,15650,0.54,sim
25835,6306,1.13,sim
25835,16970,1.17,sim
25835,1818,1.19,sim
25835,16974,1.3,sim
25834,23291,0.0,same
25834,15657,0.0,same
25834,23296,0.0,same
25834,25829,0.0,same
25834,15652,0.0,same
25834,25826,0.5,sim
25834,15649,0.5,sim
25834,23288,0.5,sim
25834,18089,0.83,sim
25833,23295,0.0,same
25833,15656,0.0,same
25833,6905,1.79,sim
25833,5156,1.79,sim
25832,16154,0.0,same
25832,15655,0.0,same
25832,23294,0.0,same
25832,6733,0.0,same
25832,5431,0.0,same
25832,8822,0.17,sim
25832,15241,0.17,sim
25832,843,0.23,sim
25832,14551,0.27,sim
25831,23293,0.0,same
25831,15654,0.0,same
25831,14291,1.7,sim
25831,22804,1.9,sim
25831,9147,1.94,sim
25831,16280,1.98,sim
25830,15653,0.0,same
25830,23292,0.0,same
25828,23290,0.0,same
25828,15651,0.0,same
25828,23287,1.81,sim
25828,25825,1.81,sim
25828,15648,1.81,sim
25827,15650,0.0,same
25827,23289,0.0,same
25827,23297,0.54,sim
25827,15658,0.54,sim
25827,25835,0.54,sim
25827,16970,1.05,sim
25827,6306,1.19,sim
25827,16974,1.19,sim
25827,1818,1.28,sim
25826,23288,0.0,same
25826,15649,0.0,same
25826,23296,0.5,sim
25826,25834,0.5,sim
25826,25829,0.5,sim
25826,15652,0.5,sim
25826,15657,0.5,sim
25826,23291,0.5,sim
25826,18089,0.89,sim
25825,23287,0.0,same
25825,15648,0.0,same
25825,25828,1.81,sim
25825,15651,1.81,sim
25825,23290,1.81,sim
25824,15647,0.0,same
25824,23286,0.0,same
25824,10301,0.88,sim
25824,12048,1.01,sim
25824,10296,1.01,sim
25824,10291,1.01,sim
25824,10293,1.01,sim
25824,19457,1.01,sim
25824,19463,1.16,sim
25823,5745,1.51,sim
25823,6070,1.69,sim
25818,4064,1.52,sim
25818,4008,1.74,sim
25818,4442,1.78,sim
25818,1009,1.84,sim
25818,5032,1.88,sim
25818,20400,1.9,sim
25818,6406,1.92,sim
25818,21971,1.98,sim
25818,19464,1.98,sim
25817,10056,0.82,sim
25817,20065,0.99,sim
25817,23638,1.08,sim
25817,3451,1.25,sim
25817,10898,1.3,sim
25817,13357,1.45,sim
25817,12088,1.45,sim
25817,13535,1.52,sim
25817,13537,1.52,sim
25814,24691,0.64,sim
25814,12651,0.72,sim
25814,12644,0.72,sim
25814,7938,0.76,sim
25814,4773,0.79,sim
25814,10959,0.82,sim
25814,12655,0.82,sim
25814,2687,1.24,sim
25814,878,1.24,sim
25809,10709,0.0,same
25809,6610,0.48,sim
25809,16070,0.64,sim
25809,6602,0.84,sim
25809,23360,0.94,sim
25809,23364,0.94,sim
25809,10220,0.97,sim
25809,3451,0.97,sim
25809,23479,0.97,sim
25806,13307,0.0,same
25806,13319,0.0,same
25806,2791,0.0,same
25806,2794,0.0,same
25806,2783,0.0,same
25806,13309,0.0,same
25806,13321,0.0,same
25806,6382,0.0,same
25806,13355,0.0,same
25806,20216,0.0,same
25804,3200,0.0,same
25804,3202,0.0,same
25804,24419,0.0,same
25804,6679,0.0,same
25804,25798,0.0,same
25804,24425,0.0,same
25804,1755,0.0,same
25804,12166,0.0,same
25804,12155,0.0,same
25803,13307,0.0,same
25803,13319,0.0,same
25803,2791,0.0,same
25803,2794,0.0,same
25803,2783,0.0,same
25803,13309,0.0,same
25803,13321,0.0,same
25803,6382,0.0,same
25803,13355,0.0,same
25803,20216,0.0,same
25802,25799,0.0,same
25802,8233,1.28,sim
25802,15682,1.28,sim
25802,15693,1.77,sim
25801,3200,0.0,same
25801,3202,0.0,same
25801,24419,0.0,same
25801,6679,0.0,same
25801,25798,0.0,same
25801,24425,0.0,same
25801,1755,0.0,same
25801,25804,0.0,same
25801,12166,0.0,same
25801,12155,0.0,same
25800,13307,0.0,same
25800,13319,0.0,same
25800,2791,0.0,same
25800,2794,0.0,same
25800,2783,0.0,same
25800,13309,0.0,same
25800,13321,0.0,same
25800,6382,0.0,same
25800,13355,0.0,same
25800,20216,0.0,same
25797,13307,0.0,same
25797,13319,0.0,same
25797,2791,0.0,same
25797,2794,0.0,same
25797,2783,0.0,same
25797,13309,0.0,same
25797,13321,0.0,same
25797,6382,0.0,same
25797,13355,0.0,same
25797,20216,0.0,same
25796,14497,0.63,sim
25796,15340,1.01,sim
25796,703,1.12,sim
25796,5039,1.17,sim
25796,12313,1.18,sim
25796,14255,1.18,sim
25796,18956,1.18,sim
25796,18151,1.31,sim
25796,7352,1.39,sim
25795,13307,0.0,same
25795,13319,0.0,same
25795,2791,0.0,same
25795,2794,0.0,same
25795,2783,0.0,same
